[2023-01-17 16:23:36,166] [autoreload.py:677] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2023-01-17 16:23:43,020] [server.py:111] [server:run] [INFO]- HTTP/2 support enabled
[2023-01-17 17:22:37,831] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/select2/i18n/zh-CN.js 200 [0.05, 127.0.0.1:54184]
[2023-01-17 17:22:37,876] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/jquery.init.js 200 [0.06, 127.0.0.1:54185]
[2023-01-17 17:22:37,922] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/core.js 200 [0.05, 127.0.0.1:54177]
[2023-01-17 17:22:38,022] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/inlines.js 200 [0.14, 127.0.0.1:54184]
[2023-01-17 17:22:38,111] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/autocomplete.js 200 [0.22, 127.0.0.1:54185]
[2023-01-17 17:22:38,147] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/admin/RelatedObjectLookups.js 200 [0.22, 127.0.0.1:54177]
[2023-01-17 17:22:38,167] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/actions.js 200 [0.04, 127.0.0.1:54184]
[2023-01-17 17:22:38,244] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/urlify.js 200 [0.02, 127.0.0.1:54185]
[2023-01-17 17:22:38,422] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/prepopulate.js 200 [0.11, 127.0.0.1:54184]
[2023-01-17 17:22:38,532] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/xregexp/xregexp.js 200 [0.14, 127.0.0.1:54177]
[2023-01-17 17:22:38,582] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/import_export/action_formats.js 200 [0.03, 127.0.0.1:54185]
[2023-01-17 17:22:39,333] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/prepopulate_init.js 200 [0.01, 127.0.0.1:54177]
[2023-01-17 17:22:39,378] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/nav_sidebar.js 200 [0.05, 127.0.0.1:54185]
[2023-01-17 17:22:39,524] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-changelink.svg 200 [0.18, 127.0.0.1:54184]
[2023-01-17 17:22:39,535] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-addlink.svg 200 [0.19, 127.0.0.1:54177]
[2023-01-17 17:22:39,616] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/icon-viewlink.svg 200 [0.19, 127.0.0.1:54185]
[2023-01-17 17:22:40,000] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/fonts/Roboto-Regular-webfont.woff 200 [0.06, 127.0.0.1:54185]
[2023-01-17 17:22:40,016] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/fonts/Roboto-Bold-webfont.woff 200 [0.08, 127.0.0.1:54184]
[2023-01-17 17:22:40,064] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/fonts/Roboto-Light-webfont.woff 200 [0.12, 127.0.0.1:54177]
[2023-01-17 17:22:40,071] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/img/inline-delete.svg 200 [0.03, 127.0.0.1:54185]
